Src Port,Dst Port,Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
63120.0,54321.0,17.0,7626.9995,8.0,0.0,624.0,0.0,78.0,78.0,78.0,0.0,0.0,0.0,0.0,0.0,81814.61,1048.9052,1089.5714,198.83398,1438.0001,869.0,7626.9995,1089.5714,198.83398,1438.0001,869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,1048.9052,0.0,78.0,78.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.75,78.0,0.0,0.0,0.0,0.0,624.0,8.0,81814.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
15117.0,54321.0,17.0,3582.0002,5.0,0.0,764.99994,0.0,153.0,153.0,153.0,0.0,0.0,0.0,0.0,0.0,213567.83,1395.8682,895.5,77.94656,1003.0,837.0,3582.0002,895.5,77.94656,1003.0,837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,1395.8682,0.0,153.0,153.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.6,153.0,0.0,0.0,0.0,0.0,765.0,5.0,213567.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
49456.0,54321.0,17.0,5097.0,6.0,0.0,882.0,0.0,147.0,147.0,147.0,0.0,0.0,0.0,0.0,0.0,173042.97,1177.163,1019.4,214.82622,1379.0,814.0,5097.0,1019.4,214.82622,1379.0,814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,1177.163,0.0,147.0,147.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.5,147.0,0.0,0.0,0.0,0.0,882.00006,6.0,173042.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
50785.0,54321.0,17.0,966.0,2.0,0.0,254.0,0.0,127.0,127.0,127.0,0.0,0.0,0.0,0.0,0.0,262939.94,2070.3933,966.0,0.0,966.0,966.0,966.0,966.0,0.0,966.0,966.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,2070.3933,0.0,127.0,127.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.50002,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
7823.0,54321.0,17.0,910.00006,2.0,0.0,224.0,0.0,112.0,112.0,112.0,0.0,0.0,0.0,0.0,0.0,246153.83,2197.802,910.0,0.0,910.00006,909.99994,910.00006,910.0,0.0,910.00006,909.99994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,2197.802,0.0,112.0,112.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
61227.0,54321.0,17.0,2156.0,3.0,0.0,459.0,0.0,153.0,153.0,153.0,0.0,0.0,0.0,0.0,0.0,212894.25,1391.4656,1078.0,31.1127,1100.0,1056.0,2156.0,1078.0,31.1127,1100.0,1056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,1391.4656,0.0,153.0,153.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
14509.0,54321.0,17.0,7784.9995,9.0,0.0,791.99994,0.0,88.0,88.0,88.0,0.0,0.0,0.0,0.0,0.0,101734.1,1156.0693,973.125,161.14186,1153.0,630.99994,7784.9995,973.125,161.14186,1153.0,630.99994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,1156.0693,0.0,88.0,88.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.77778,88.0,0.0,0.0,0.0,0.0,792.0,9.0,101734.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
61405.0,54321.0,17.0,2087.0,3.0,0.0,210.00002,0.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,100622.9,1437.47,1043.5,28.991379,1064.0,1022.99994,2087.0,1043.5,28.991379,1064.0,1022.99994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,1437.47,0.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.333336,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
38875.0,54321.0,17.0,3228.0,4.0,0.0,268.0,0.0,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,83023.54,1239.1573,1076.0,148.64723,1216.0,920.0,3228.0,1076.0,148.64723,1216.0,920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,1239.1573,0.0,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.75,67.0,0.0,0.0,0.0,0.0,268.0,4.0,83023.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
1875.0,54321.0,17.0,5937.0,7.0,0.0,769.99994,0.0,110.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,129695.13,1179.0466,989.5,55.1933,1052.0,906.0,5937.0,989.5,55.1933,1052.0,906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,1179.0466,0.0,110.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.714294,110.0,0.0,0.0,0.0,0.0,770.0,7.0,129695.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
